date,time,timestamp,temperature,humidity,gas_analog,gas_digital,ldr_lux
2025-06-18,11:50:00,803562600,24.6,49.0,222,1,9.0
2025-06-18,11:50:05,803562605,24.6,49.1,228,1,9.0
2025-06-18,11:50:10,803562610,24.6,49.0,229,1,9.0
2025-06-18,11:50:15,803562615,24.6,49.2,228,1,9.0
2025-06-18,11:50:20,803562620,24.6,49.0,240,1,9.0
2025-06-18,11:50:25,803562625,24.6,49.0,238,1,9.0
2025-06-18,11:50:29,803562629,24.6,49.1,237,1,9.0
2025-06-18,11:50:34,803562634,24.6,49.3,199,1,9.0
2025-06-18,11:50:39,803562639,24.6,49.2,240,1,9.0
2025-06-18,11:50:44,803562644,24.6,49.2,231,1,9.0
2025-06-18,11:50:49,803562649,24.6,49.2,240,1,9.0
2025-06-18,11:50:54,803562654,24.6,49.3,238,1,9.0
2025-06-18,11:50:59,803562659,24.6,49.3,239,1,9.0
2025-06-18,11:51:04,803562664,24.5,49.0,233,1,9.0
2025-06-18,11:51:09,803562669,24.6,49.0,241,1,9.0
2025-06-18,11:51:14,803562674,24.5,49.0,236,1,9.0
2025-06-18,11:51:19,803562679,24.5,49.0,239,1,9.0
2025-06-18,11:51:24,803562684,24.5,49.0,243,1,9.0
2025-06-18,11:51:29,803562689,24.5,49.1,233,1,9.0
2025-06-18,11:51:33,803562693,24.5,49.1,221,1,9.0
2025-06-18,11:51:38,803562698,24.5,49.2,251,1,9.0
2025-06-18,11:51:43,803562703,24.5,49.2,238,1,9.0
2025-06-18,11:51:48,803562708,24.5,49.1,240,1,9.0
2025-06-18,11:51:53,803562713,24.5,49.1,223,1,9.0
2025-06-18,11:51:58,803562718,24.5,49.1,243,1,10.0
2025-06-18,11:52:03,803562723,24.5,49.3,238,1,9.0
2025-06-18,11:52:08,803562728,24.5,49.2,236,1,9.0
2025-06-18,11:52:12,803562732,24.5,49.2,230,1,9.0
2025-06-18,11:52:17,803562737,24.5,49.1,237,1,9.0
2025-06-18,11:52:22,803562742,24.5,49.3,237,1,9.0
2025-06-18,11:52:27,803562747,24.5,49.3,240,1,9.0
2025-06-18,11:52:32,803562752,24.5,49.3,240,1,9.0
2025-06-18,11:52:37,803562757,24.5,49.3,240,1,9.0
2025-06-18,11:52:42,803562762,24.5,49.2,226,1,9.0
2025-06-18,11:52:47,803562767,24.5,49.3,213,1,9.0
2025-06-18,11:52:52,803562772,24.5,49.2,229,1,9.0
2025-06-18,11:52:56,803562776,24.5,49.4,240,1,9.0
2025-06-18,11:53:01,803562781,24.5,49.4,235,1,10.0
2025-06-18,11:53:06,803562786,24.5,49.4,235,1,9.0
2025-06-18,11:53:11,803562791,24.5,49.4,240,1,9.0
2025-06-18,11:53:16,803562796,24.5,49.3,236,1,9.0
2025-06-18,11:53:21,803562801,24.5,49.3,235,1,9.0
2025-06-18,11:53:26,803562806,24.5,49.3,234,1,9.0
2025-06-18,11:53:31,803562811,24.5,49.4,229,1,9.0
2025-06-18,11:53:36,803562816,24.5,49.2,231,1,9.0
2025-06-18,11:53:40,803562820,24.5,49.4,227,1,9.0
2025-06-18,11:53:45,803562825,24.5,49.4,241,1,9.0
2025-06-18,11:53:50,803562830,24.5,49.3,235,1,9.0
2025-06-18,11:53:55,803562835,24.5,49.2,241,1,9.0
2025-06-18,11:54:00,803562840,24.5,49.4,256,1,9.0
2025-06-18,11:54:05,803562845,24.5,49.3,240,1,9.0
2025-06-18,11:54:10,803562850,24.5,49.4,235,1,9.0
2025-06-18,11:54:15,803562855,24.5,49.5,243,1,9.0
2025-06-18,11:54:20,803562860,24.5,49.4,235,1,9.0
2025-06-18,11:54:25,803562865,24.5,49.4,244,1,9.0
2025-06-18,11:54:29,803562869,24.5,49.4,239,1,9.0
2025-06-18,11:54:34,803562874,24.4,49.4,227,1,9.0
2025-06-18,11:54:39,803562879,24.5,49.4,232,1,9.0
2025-06-18,11:54:44,803562884,24.5,49.5,236,1,9.0
2025-06-18,11:54:49,803562889,24.5,49.4,230,1,9.0
2025-06-18,11:54:54,803562894,24.4,49.4,240,1,9.0
2025-06-18,11:54:59,803562899,24.5,49.6,222,1,9.0
2025-06-18,11:55:04,803562904,24.5,49.4,234,1,9.0
2025-06-18,11:55:09,803562909,24.5,49.3,231,1,9.0
2025-06-18,11:55:14,803562914,24.5,49.4,235,1,9.0
2025-06-18,11:55:19,803562919,24.5,49.5,239,1,8.0
2025-06-18,11:55:24,803562924,24.5,49.5,231,1,9.0
2025-06-18,11:55:29,803562929,24.5,49.5,231,1,9.0
2025-06-18,11:55:33,803562933,24.5,49.5,231,1,9.0
