date,time,timestamp,temperature,humidity,gas_analog,gas_digital,light
2025-05-21,08:20:58,801130858,25.6,35.7,154,1,509
2025-05-21,08:21:03,801130863,25.6,35.7,117,1,487
2025-05-21,08:21:08,801130868,25.6,35.9,154,1,531
2025-05-21,08:21:13,801130873,25.6,35.6,147,1,538
2025-05-21,08:21:18,801130878,25.6,35.7,117,1,553
2025-05-21,08:21:23,801130883,25.6,35.7,155,1,559
2025-05-21,08:21:29,801130889,25.6,35.8,161,1,523
2025-05-21,08:21:34,801130894,25.6,35.8,160,1,546
2025-05-21,08:21:39,801130899,25.6,35.9,165,1,563
2025-05-21,08:21:44,801130904,25.6,35.7,165,1,575
2025-05-21,08:21:49,801130909,25.7,35.5,162,1,576
2025-05-21,08:21:54,801130914,25.7,35.7,167,1,580
2025-05-21,08:21:59,801130919,25.7,35.6,167,1,587
2025-05-21,08:22:05,801130925,25.7,35.5,168,1,588
2025-05-21,08:22:10,801130930,25.7,35.6,119,1,592
2025-05-21,08:22:16,801130936,25.7,35.5,161,1,598
2025-05-21,08:22:21,801130941,25.7,35.7,171,1,601
2025-05-21,08:22:26,801130946,25.7,35.5,127,1,580
2025-05-21,08:22:31,801130951,25.7,35.6,161,1,525
2025-05-21,08:22:36,801130956,25.7,35.6,169,1,557
2025-05-21,08:22:41,801130961,25.7,35.6,163,1,546
2025-05-21,08:22:46,801130966,25.7,35.6,162,1,545
2025-05-21,08:22:51,801130971,25.7,35.4,162,1,543
2025-05-21,08:22:57,801130977,25.6,35.4,163,1,543
2025-05-21,08:23:02,801130982,25.6,35.5,158,1,544
2025-05-21,08:23:07,801130987,25.7,35.5,159,1,549
2025-05-21,08:23:12,801130992,25.7,35.7,164,1,559
2025-05-21,08:23:17,801130997,25.7,35.4,167,1,557
2025-05-21,08:23:22,801131002,25.7,35.6,100,1,594
2025-05-21,08:23:27,801131007,25.7,35.7,169,1,592
2025-05-21,08:23:32,801131012,25.7,35.6,170,1,592
2025-05-21,08:23:38,801131018,25.7,35.5,169,1,590
2025-05-21,08:23:43,801131023,25.7,35.5,174,1,557
2025-05-21,08:23:48,801131028,25.7,35.6,171,1,581
2025-05-21,08:23:53,801131033,25.7,35.6,165,1,565
2025-05-21,08:23:58,801131038,25.7,35.4,170,1,555
2025-05-21,08:24:03,801131043,25.7,35.4,172,1,559
2025-05-21,08:24:08,801131048,25.7,35.3,165,1,542
2025-05-21,08:24:14,801131054,25.8,35.4,173,1,573
2025-05-21,08:24:19,801131059,25.8,35.6,173,1,582
2025-05-21,08:24:24,801131064,25.8,35.4,134,1,581
2025-05-21,08:24:29,801131069,25.8,35.4,174,1,577
2025-05-21,08:24:34,801131074,25.8,35.5,176,1,602
2025-05-21,08:24:39,801131079,25.8,35.3,172,1,622
2025-05-21,08:24:45,801131085,25.8,35.4,174,1,624
2025-05-21,08:24:50,801131090,25.8,35.4,161,1,640
2025-05-21,08:24:55,801131095,25.8,35.3,166,1,645
2025-05-21,08:25:00,801131100,25.8,35.4,167,1,580
2025-05-21,08:25:05,801131105,25.8,35.4,165,1,646
2025-05-21,08:25:10,801131110,25.8,35.6,170,1,660
2025-05-21,08:25:15,801131115,25.8,35.5,177,1,667
2025-05-21,08:25:21,801131121,25.8,35.4,186,1,671
2025-05-21,08:25:26,801131126,25.8,35.4,143,1,676
2025-05-21,08:25:31,801131131,25.8,35.3,177,1,671
2025-05-21,08:25:36,801131136,25.8,35.4,178,1,677
2025-05-21,08:25:41,801131141,25.8,35.4,183,1,677
2025-05-21,08:25:46,801131146,25.8,35.4,189,1,669
2025-05-21,08:25:52,801131152,25.8,35.4,143,1,668
2025-05-21,08:25:57,801131157,25.8,35.4,140,1,623
