date,time,timestamp,temperature,humidity,gas_analog,gas_digital,ldr_lux
2025-05-28,14:40:39,801758439,25.7,39.3,10984.99,1,9.0
2025-05-28,14:40:45,801758445,25.7,39.3,10424.4,1,9.0
2025-05-28,14:40:50,801758450,25.7,39.2,11175.65,1,9.0
2025-05-28,14:40:55,801758455,25.7,39.3,10060.08,1,10.0
2025-05-28,14:41:00,801758460,25.7,39.2,11759.05,1,10.0
2025-05-28,14:41:05,801758465,25.7,39.2,10060.08,1,8.0
2025-05-28,14:41:11,801758471,25.7,39.6,10060.08,1,8.0
2025-05-28,14:41:16,801758476,25.6,40.0,12563.86,1,8.0
2025-05-28,14:41:21,801758481,25.7,40.1,10984.99,1,8.0
2025-05-28,14:41:26,801758486,25.7,39.4,11175.65,1,8.0
2025-05-28,14:41:31,801758491,25.7,39.3,10060.08,1,8.0
2025-05-28,14:41:36,801758496,25.7,39.4,10609.38,1,8.0
2025-05-28,14:41:42,801758502,25.7,39.3,9703.225,1,8.0
2025-05-28,14:41:47,801758507,25.7,39.3,9353.794,1,8.0
2025-05-28,14:41:52,801758512,25.7,39.2,10241.3,1,8.0
2025-05-28,14:41:57,801758517,25.7,39.2,9181.851,1,8.0
2025-05-28,14:42:02,801758522,25.6,39.2,13187.85,1,8.0
2025-05-28,14:42:08,801758528,25.7,39.2,10984.99,1,8.0
2025-05-28,14:42:13,801758533,25.7,39.3,10984.99,1,8.0
2025-05-28,14:42:18,801758538,25.7,39.4,11759.05,1,8.0
2025-05-28,14:42:23,801758543,25.7,39.5,9703.225,1,8.0
2025-05-28,14:42:29,801758549,25.7,39.8,10984.99,1,8.0
2025-05-28,14:42:34,801758554,25.7,39.4,13187.85,1,8.0
2025-05-28,14:42:39,801758559,25.6,39.4,11759.05,1,8.0
2025-05-28,14:42:45,801758565,25.7,39.2,10424.4,1,8.0
2025-05-28,14:42:50,801758570,25.7,39.4,11368.2,1,8.0
2025-05-28,14:42:55,801758575,25.7,40.0,13613.65,1,9.0
2025-05-28,14:43:00,801758580,25.7,40.4,13187.85,1,9.0
2025-05-28,14:43:05,801758585,25.7,39.5,11957.36,1,9.0
2025-05-28,14:43:10,801758590,25.7,39.1,11368.2,1,9.0
2025-05-28,14:43:16,801758596,25.6,39.3,11957.36,1,9.0
2025-05-28,14:43:21,801758601,25.7,39.4,12769.9,1,9.0
2025-05-28,14:43:26,801758606,25.7,39.3,11759.05,1,9.0
2025-05-28,14:43:31,801758611,25.7,39.6,12769.9,1,8.0
2025-05-28,14:43:36,801758616,25.7,39.7,12563.86,1,7.0
2025-05-28,14:43:42,801758622,25.7,39.9,12157.59,1,7.0
2025-05-28,14:43:47,801758627,25.7,39.7,13187.85,1,7.0
2025-05-28,14:43:52,801758632,25.7,39.9,12769.9,1,7.0
2025-05-28,14:43:57,801758637,25.7,41.8,17062.07,1,7.0
2025-05-28,14:44:02,801758642,25.7,42.6,14488.98,1,7.0
2025-05-28,14:44:07,801758647,25.8,40.9,12769.9,1,7.0
2025-05-28,14:44:13,801758653,25.8,40.6,13399.76,1,8.0
2025-05-28,14:44:18,801758658,25.8,39.6,13829.51,1,8.0
2025-05-28,14:44:23,801758663,25.8,40.6,16097.94,1,8.0
2025-05-28,14:44:28,801758668,25.8,39.8,14488.98,1,8.0
2025-05-28,14:44:33,801758673,25.8,39.3,12563.86,1,9.0
2025-05-28,14:44:39,801758679,25.8,39.3,13187.85,1,9.0
2025-05-28,14:44:44,801758684,25.8,39.7,13187.85,1,10.0
2025-05-28,14:44:49,801758689,25.8,39.2,11957.36,1,10.0
2025-05-28,14:44:54,801758694,25.8,39.8,14712.79,1,8.0
2025-05-28,14:44:59,801758699,25.8,39.5,15166.45,1,8.0
2025-05-28,14:45:05,801758705,25.8,39.2,15628.14,1,8.0
2025-05-28,14:45:10,801758710,25.8,39.3,16097.94,1,8.0
2025-05-28,14:45:15,801758715,25.8,40.7,14488.98,1,8.0
2025-05-28,14:45:20,801758720,25.9,41.5,17556.49,1,8.0
2025-05-28,14:45:26,801758726,25.8,40.0,15396.27,1,9.0
2025-05-28,14:45:31,801758731,25.8,41.2,15396.27,1,9.0
2025-05-28,14:45:36,801758736,25.9,40.3,15628.14,1,8.0
2025-05-28,14:45:41,801758741,25.9,39.3,14712.79,1,8.0
2025-05-28,14:45:46,801758746,25.9,40.1,14712.79,1,8.0
2025-05-28,14:45:52,801758752,25.9,39.5,15396.27,1,9.0
2025-05-28,14:45:57,801758757,25.9,39.7,13613.65,1,9.0
2025-05-28,14:46:02,801758762,25.8,39.0,14488.98,1,9.0
